;;country;Watch time (mins);Streamtime (mins);gpdPercap;lifeExp;pop;Partnered;Mature;Language;Names;;continent
1;;TSM_ImperialHal;75205185;5610;28375;13406;1707481;TRUE;FALSE;English;TSM_ImperialHal;;M
2;;NICKMERCS;73832220;4650;28799;15878;6601027;TRUE;FALSE;English;NICKMERCS;;M
3;;HisWattson;43470570;5910;12101;7355;409105;TRUE;FALSE;English;HisWattson;;M
4;;Mande;28247310;5790;9101;4879;357664;TRUE;FALSE;English;Mande;;M
5;;???2 (yukiofps14);21535005;5640;8645;3818;139509;TRUE;FALSE;Japanese;???2 (yukiofps14);;M
6;;ShivFPS;13806060;3675;8858;3757;1449561;TRUE;FALSE;English;ShivFPS;;M
7;;Faide;13263510;2910;6624;4558;678245;TRUE;FALSE;English;Faide;;M
8;;Rogue;12858480;4740;5469;2713;776720;TRUE;FALSE;English;Rogue;;M
9;;?????? (kato_junichi0817);12839550;765;25972;16784;668933;FALSE;FALSE;Japanese;?????? (kato_junichi0817);;M
10;;sweetdreams;11315115;2655;8139;4262;775843;TRUE;FALSE;English;sweetdreams;;M
11;;NiceWigg;9209430;3705;7313;2486;626164;TRUE;FALSE;English;NiceWigg;;M
12;;aceu;9022095;735;17016;12275;2797903;TRUE;TRUE;English;aceu;;M
13;;iiTzTimmy;8622525;1080;11011;7984;2473894;TRUE;FALSE;English;iiTzTimmy;;M
14;;sudetakin;8492400;5490;5622;1547;53436;TRUE;FALSE;Japanese;sudetakin;;M
15;;TSM_Reps;7911900;4830;4223;1638;267360;TRUE;TRUE;English;TSM_Reps;;M
16;;Snip3down;7778190;2805;6077;2773;604607;TRUE;TRUE;English;Snip3down;;M
17;;??? (oniyadayo);7294230;1125;9569;6484;198632;TRUE;FALSE;Japanese;??? (oniyadayo);;M
18;;Dropped;7104705;3660;5026;1941;302487;TRUE;TRUE;English;Dropped;;M
19;;chaoticmuch;7006215;6165;2145;1136;147560;TRUE;FALSE;English;chaoticmuch;;M
20;;Apricot;6236070;1365;7167;4569;365783;TRUE;TRUE;English;Apricot;;F
21;;stylishnoob4;6186330;405;18403;15275;903081;TRUE;FALSE;Japanese;stylishnoob4;;M
22;;??? (dmf_kyochan);6163320;4155;2610;1483;208464;TRUE;FALSE;Japanese;??? (dmf_kyochan);;M
23;;Albralelie;5647395;4230;5206;1335;593895;TRUE;FALSE;English;Albralelie;;M
24;;YamatoShuhei_;5464785;1215;7038;4498;20398;TRUE;FALSE;Japanese;YamatoShuhei_;;M
25;;Naughty;5429565;9765;1317;556;133492;TRUE;FALSE;English;Naughty;;M
26;;oraxe;5337105;5175;2058;1031;102634;TRUE;TRUE;French;oraxe;;M
27;;VERHULST;5260695;4905;5395;1073;228595;TRUE;FALSE;English;VERHULST;;M
28;;?? (kimdoe);5158785;1275;6066;4046;318468;TRUE;TRUE;Korean;?? (kimdoe);;M
29;;?? (taaaao);5101530;4290;3332;1189;59354;TRUE;FALSE;Chinese;?? (taaaao);;M
30;;?? (ttv_bolin);4855230;5025;2077;966;82338;TRUE;FALSE;Chinese;?? (ttv_bolin);;M
31;;maronnv;4806120;4740;1537;1014;64950;TRUE;FALSE;Japanese;maronnv;;M
32;;Extesyy  (extesyy);4718145;3435;4183;1374;130904;TRUE;FALSE;English;Extesyy  (extesyy);;M
33;;IQ200YukaF;4159380;4590;2233;906;57181;TRUE;FALSE;Japanese;IQ200YukaF;;M
34;;stormen;4123350;3390;2466;1216;715388;TRUE;FALSE;English;stormen;;M
35;;Euriece;3968850;2670;2708;1486;310479;TRUE;FALSE;Japanese;Euriece;;M
36;;??? (dtn_mukai);3889965;2910;4301;1337;79853;TRUE;FALSE;Japanese;??? (dtn_mukai);;M
37;;daltoosh;3491565;1005;4436;3474;733447;TRUE;FALSE;English;daltoosh;;M
38;;9impulse;3356340;2625;2271;1279;116760;TRUE;FALSE;Russian;9impulse;;M
39;;Diegosaurs;3354915;2130;2601;1575;684197;TRUE;FALSE;English;Diegosaurs;;M
40;;Keon;3353910;4500;4008;745;107107;TRUE;FALSE;English;Keon;;M
41;;456_hesiko;3213180;5370;1884;598;30890;TRUE;FALSE;Japanese;456_hesiko;;M
42;;Dezignful;2988600;7440;1656;402;168246;TRUE;FALSE;English;Dezignful;;M
43;;Apryze;2975595;4485;2116;663;260417;TRUE;FALSE;English;Apryze;;M
44;;GuhRL;2540760;6675;1256;381;180151;TRUE;FALSE;English;GuhRL;;F
45;;KSWINNIIE;2516430;4035;1253;624;105624;TRUE;FALSE;French;KSWINNIIE;;M
46;;??????? (kentung);2456955;3225;1379;762;88060;TRUE;FALSE;Chinese;??????? (kentung);;M
47;;knoqd;2424135;5340;1046;454;167256;TRUE;TRUE;English;knoqd;;M
48;;Ftyaaaan;2395500;2550;2348;939;28417;TRUE;FALSE;Japanese;Ftyaaaan;;M
49;;aParkha;2373420;3150;1429;753;49549;TRUE;FALSE;Korean;aParkha;;M
50;;taxi2g;2352120;1410;2410;1668;339098;TRUE;FALSE;English;taxi2g;;M
